project_name,version,cve_id,download_url,source,file_size_mb,download_time
async-http-client,2.0.29,CVE-2017-14063,https://repo1.maven.org/maven2/org/asynchttpclient/async-http-client/2.0.29/async-http-client-2.0.29-sources.jar,maven,1.17,2025-09-30T21:21:52.600766
commons-compress,1.15,CVE-2018-1324,https://repo1.maven.org/maven2/org/apache/commons/commons-compress/1.15/commons-compress-1.15-sources.jar,maven,2.04,2025-09-30T21:21:56.800787
commons-compress,1.17,CVE-2018-11771,https://repo1.maven.org/maven2/org/apache/commons/commons-compress/1.17/commons-compress-1.17-sources.jar,maven,2.16,2025-09-30T21:21:48.393849
commons-compress,1.18,CVE-2019-12402,https://repo1.maven.org/maven2/org/apache/commons/commons-compress/1.18/commons-compress-1.18-sources.jar,maven,2.17,2025-09-30T21:24:51.731943
commons-compress,1.0,CVE-2021-36090,https://repo1.maven.org/maven2/org/apache/commons/commons-compress/1.0/commons-compress-1.0-sources.jar,maven,0.64,2025-09-30T21:21:10.528203
commons-fileupload,1.3.2,CVE-2016-1000031,https://repo1.maven.org/maven2/commons-fileupload/commons-fileupload/1.3.2/commons-fileupload-1.3.2-sources.jar,maven,0.35,2025-09-30T21:21:12.458894
cron-utils,9.0.2,CVE-2021-41269,https://repo1.maven.org/maven2/com/cronutils/cron-utils/9.0.2/cron-utils-9.0.2-sources.jar,maven,0.45,2025-09-30T21:21:45.669211
cxf,3.1.2,CVE-2015-5253,https://repo1.maven.org/maven2/org/apache/cxf/cxf-core/3.1.2/cxf-core-3.1.2-sources.jar,maven,3.99,2025-09-30T21:25:04.853758
cxf-fediz,1.3.0,CVE-2016-4464,https://repo1.maven.org/maven2/org/apache/cxf/fediz/fediz-core/1.3.0/fediz-core-1.3.0-sources.jar,maven,0.6,2025-09-30T21:24:28.682533
cxf-fediz,1.4.0,CVE-2017-7662,https://repo1.maven.org/maven2/org/apache/cxf/fediz/fediz-core/1.4.0/fediz-core-1.4.0-sources.jar,maven,0.63,2025-09-30T21:24:01.752462
cxf-fediz,1.2.3,CVE-2017-7661,https://repo1.maven.org/maven2/org/apache/cxf/fediz/fediz-core/1.2.3/fediz-core-1.2.3-sources.jar,maven,0.6,2025-09-30T21:22:00.026194
directory-ldap-api,1.0.0,CVE-2018-1337,https://repo1.maven.org/maven2/org/apache/directory/api/api-ldap-client-api/1.0.0/api-ldap-client-api-1.0.0-sources.jar,maven,0.68,2025-09-30T21:23:32.769037
esapi-java-legacy,2.2.3.1,CVE-2022-23457,https://repo1.maven.org/maven2/org/owasp/esapi/esapi/2.2.3.1/esapi-2.2.3.1-sources.jar,maven,2.72,2025-09-30T21:23:42.462840
esapi-java-legacy,2.1.0,CVE-2013-5960,https://repo1.maven.org/maven2/org/owasp/esapi/esapi/2.1.0/esapi-2.1.0-sources.jar,maven,2.43,2025-09-30T21:24:32.120668
google-oauth-java-client,1.30.5,CVE-2020-7692,https://repo1.maven.org/maven2/com/google/oauth-client/google-oauth-client/1.30.5/google-oauth-client-1.30.5-sources.jar,maven,0.27,2025-09-30T21:22:20.131412
hibernate-validator,6.1.0.Final,CVE-2019-10219,https://repo1.maven.org/maven2/org/hibernate/validator/hibernate-validator/6.1.0.Final/hibernate-validator-6.1.0.Final-sources.jar,maven,3.25,2025-09-30T21:23:39.045202
jackson-databind,2.9.10,CVE-2020-14195,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:22:21.985100
jackson-databind,2.9.10,CVE-2020-11619,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:22:31.501680
jackson-databind,2.9.10.7,CVE-2020-36182,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:23:11.020663
jackson-databind,2.9.10.7,CVE-2020-36185,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:24:04.772961
jackson-databind,2.9.9,CVE-2019-17267,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:24:24.646200
jackson-databind,2.9.10.7,CVE-2020-36184,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:21:56.155468
jackson-databind,2.8.11,CVE-2018-5968,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.8.11/jackson-databind-2.8.11-sources.jar,maven,4.36,2025-09-30T21:23:10.261101
